[00:00.240] 接了二次客户李女士，
[172:51.090] 拍的好的座椅，就那美式大沙发也坐上去晃过了，
[172:56.350] 特舒服。
[172:58.410] 刚才我们看
[173:00.010] 那个人的文学在哪看了？
[173:02.290] 是哥。
[173:03.600] 这台试驾车那条看。
[173:06.100] 对什么紧张？
[173:08.900] 累得没了。
[173:10.930] 你没看试驾车颜色就很少有黑色了。
[173:15.860] 腾讯那边赛店看车都很让我试驾车的黑色，
[173:20.810] 然后推着也卖，
[173:23.590] 因为的好吗？黑色好卖，他的别的颜色打过来就推，
[173:28.510] 非
[173:30.750] 可是画册上印的都也不是黑的。
[173:34.220] 黑。
[173:35.110] 这相片我拍完相片美化就跟10多岁的
[173:40.290] 可能一样。
[173:45.540] 孩子还不过来看看怎么还做，还弄成什么了。
[173:52.570] 玩上了。
[173:56.470] 了。
[174:14.600] 俩孩子玩。
[174:15.840] 你要在那话啥了？
[174:18.330] 还有抹绿色，
[174:20.680] 这叫土木之最。
[174:22.220] 其实所有的颜色都拿矿物的
[174:26.350] 盐酸变成
[174:29.790] 你要沿河才
[174:32.040] 的
[174:34.480] 很厉害。
[174:39.930] 这种颜色
[174:42.180] 偶尔看一回酒，要长时间开都不行，
[174:45.420] 但是我要买我绝对不要这个颜色。
[174:48.400] 所以比如说别人有这样高看着还不错，对，但是你让我拥有我还我
[174:55.720] 其实我还挺喜欢那种零规则，就跟银色版
[175:00.710] 觉得衣服篮球黑色。
[175:02.260] 对，没有别的颜色没发现，风尘以前老管的有银色，现在新闻都没有颜色了吗？
[175:08.200] 也没发现了。
[175:13.200] 你看像现在这种歌应该都是这种颜色，很少有黑色那种，
[175:18.190] 现在都是黑色，没有这种颜色知道，他说这种蚊子迈巴赫有这种，我觉得喜欢看的就是发的他说这
[175:26.200] 特色
[175:30.280] 看中国
[175:32.700] 不就80的农行，
[175:35.320] 只有天花板卖多少？
[175:37.020] 300多。
[175:42.770] 同样都是迈巴赫，
[175:44.360] 您怎么知道他是100多万的WiFi，还是300多万买房，就那么看着龙头的产品。
[175:49.150] 对你要说
[175:50.400] 认识了以后，
[175:52.570] 认识了以后这东西一眼就能看到。
[177:31.240] 打磨了应该是。
[177:39.660] 现在您抽一根
[177:41.920] 头部头贴近。
[185:45.610] 拿回去磨不行吗？
[185:50.210] 后期了。
[185:53.140] 手快有5分钟好好。
[185:55.840] 给小朋友们讲话。
[186:00.100] 等会我给你上去拿手机的
[187:06.130] 拉拉手，
[187:07.300] 摇了
[188:03.760] 稍等一会儿。
[188:04.540] 我跟上，然后把活干。
[188:18.870] 拿放车上拍的。
[188:21.300] 好了，你的作品完成了，
[188:23.830] 给你一个小盒，
[188:25.210] 把它装下来。
[188:26.430] 送给妈妈。
[188:27.760] 好。
[188:29.760] 行。
[188:42.080] 你拿走。
[188:49.990] 亏了，
[188:51.250] 后来。
[189:25.690] 三。
[190:07.170] 送给你。送给他。
[190:08.680] 我看看他大了上了。
[190:13.490] 了。
[190:15.830] 其他的吗？
[190:19.510] 然后比较
[190:20.770] 总共打磨打火机，
[190:33.100] 再拿两袋。
[190:34.230] 这个是没有。
[190:37.630] 接电话号码报号码。
[190:44.710] 这边朋友这边不用。
[190:47.160] 就说这了，说这
[191:01.240] 完事了。
[191:03.130] 走吧。
[191:04.410] 打过去。
[191:07.700] 网上
[191:09.310] 就在
[191:13.440] 在的下风还是会有一个对他这是有项目吗？不是，像我们是感应器，比如说你下雨了什么之类，天空忘关了，那边等一下去
[191:24.250] 形状申请或者是大增感剂以后雨刷自动雨刷器的感觉
[191:29.040] 都集中在那一个
[191:31.550] 然后它窗
[191:33.220] 2点。
[191:34.020] 这边后面都有还是没有？
[191:36.110] 这边。
[191:37.070] 这边都有，后面也有，对就不用编。
[191:40.670] 后面有的也
[191:45.650] 慢点。
[191:52.870] 大众。
[191:53.890] 我这两天给我登记了。
[191:58.250] 然后简单给你。
[191:59.160] 写网上百度一下。
[192:16.090] 那牙真相
[192:17.230] 要
[192:18.000] 刚买房子还有东西，还有规划，
[192:20.860] 能够飞过来的，
[192:22.020] 你买点这什么东西都坏了，不卖了，
[192:25.390] 我叫谁不卖，我联系制度回来。
[192:33.790] 对。
[192:36.790] 其实这条线我的眼睛真的不想卖了。
[192:40.070] 后来我跟他说。
[192:42.440] 做。
[192:45.350] 让他。
[193:15.160] 压根不谈。
[193:20.170] 了，我这两台车赔2万多块钱。
[193:48.880] 召集我吃饭，别叫我。
[193:54.980] 这两台车卖
[193:56.560] 业务质量都没有。
